dim0,dim1,dim2,dim3,dim4,geo,year,value
A,TO_EMP,EMP_FT,F,PC,SI,2006,
A,TO_EMP,EMP_FT,F,PC,SK,2006,95.1
A,TO_EMP,EMP_FT,F,PC,TR,2006,
A,TO_EMP,EMP_FT,F,PC,UK,2006,93.0
A,TO_EMP,EMP_FT,M,PC,AL,2006,
A,TO_EMP,EMP_FT,M,PC,AT,2006,93.8
A,TO_EMP,EMP_FT,M,PC,BE,2006,95.2
A,TO_EMP,EMP_FT,M,PC,BG,2006,91.4
A,TO_EMP,EMP_FT,M,PC,CH,2006,
A,TO_EMP,EMP_FT,M,PC,CY,2006,93.6
A,TO_EMP,EMP_FT,M,PC,CZ,2006,95.9
A,TO_EMP,EMP_FT,M,PC,DE,2006,96.4
A,TO_EMP,EMP_FT,M,PC,DK,2006,92.0
A,TO_EMP,EMP_FT,M,PC,EA,2006,92.8
A,TO_EMP,EMP_FT,M,PC,EA18,2006,92.8
A,TO_EMP,EMP_FT,M,PC,EA19,2006,92.8
A,TO_EMP,EMP_FT,M,PC,EA20,2006,
A,TO_EMP,EMP_FT,M,PC,EE,2006,94.3
A,TO_EMP,EMP_FT,M,PC,EL,2006,86.0
A,TO_EMP,EMP_FT,M,PC,ES,2006,88.0
A,TO_EMP,EMP_FT,M,PC,EU,2006,93.7
A,TO_EMP,EMP_FT,M,PC,EU27_2007,2006,93.7
A,TO_EMP,EMP_FT,M,PC,EU27_2020,2006,93.3
A,TO_EMP,EMP_FT,M,PC,EU28,2006,93.7
A,TO_EMP,EMP_FT,M,PC,FI,2006,93.1
A,TO_EMP,EMP_FT,M,PC,FR,2006,94.9
A,TO_EMP,EMP_FT,M,PC,HR,2006,89.3
A,TO_EMP,EMP_FT,M,PC,HU,2006,92.0
A,TO_EMP,EMP_FT,M,PC,IE,2006,92.7
A,TO_EMP,EMP_FT,M,PC,IS,2006,94.4
A,TO_EMP,EMP_FT,M,PC,IT,2006,89.2
A,TO_EMP,EMP_FT,M,PC,LT,2006,94.1
A,TO_EMP,EMP_FT,M,PC,LU,2006,95.4
A,TO_EMP,EMP_FT,M,PC,LV,2006,88.9
A,TO_EMP,EMP_FT,M,PC,ME,2006,
A,TO_EMP,EMP_FT,M,PC,MK,2006,
A,TO_EMP,EMP_FT,M,PC,MT,2006,96.2
A,TO_EMP,EMP_FT,M,PC,NL,2006,96.3
A,TO_EMP,EMP_FT,M,PC,NO,2006,95.9
A,TO_EMP,EMP_FT,M,PC,PL,2006,95.7
A,TO_EMP,EMP_FT,M,PC,PT,2006,93.0
A,TO_EMP,EMP_FT,M,PC,RO,2006,97.5
A,TO_EMP,EMP_FT,M,PC,RS,2006,
A,TO_EMP,EMP_FT,M,PC,SE,2006,95.5
A,TO_EMP,EMP_FT,M,PC,SI,2006,
A,TO_EMP,EMP_FT,M,PC,SK,2006,94.8
A,TO_EMP,EMP_FT,M,PC,TR,2006,
A,TO_EMP,EMP_FT,M,PC,UK,2006,96.2
A,TO_EMP,EMP_FT,T,PC,AL,2006,
A,TO_EMP,EMP_FT,T,PC,AT,2006,93.4
A,TO_EMP,EMP_FT,T,PC,BE,2006,95.1
A,TO_EMP,EMP_FT,T,PC,BG,2006,91.4
A,TO_EMP,EMP_FT,T,PC,CH,2006,
A,TO_EMP,EMP_FT,T,PC,CY,2006,94.1
A,TO_EMP,EMP_FT,T,PC,CZ,2006,94.4
A,TO_EMP,EMP_FT,T,PC,DE,2006,95.4
A,TO_EMP,EMP_FT,T,PC,DK,2006,92.3
A,TO_EMP,EMP_FT,T,PC,EA,2006,92.3
A,TO_EMP,EMP_FT,T,PC,EA18,2006,92.2
A,TO_EMP,EMP_FT,T,PC,EA19,2006,92.2
A,TO_EMP,EMP_FT,T,PC,EA20,2006,
A,TO_EMP,EMP_FT,T,PC,EE,2006,93.9
A,TO_EMP,EMP_FT,T,PC,EL,2006,84.3
A,TO_EMP,EMP_FT,T,PC,ES,2006,87.7
A,TO_EMP,EMP_FT,T,PC,EU,2006,93.0
A,TO_EMP,EMP_FT,T,PC,EU27_2007,2006,93.0
A,TO_EMP,EMP_FT,T,PC,EU27_2020,2006,92.7
A,TO_EMP,EMP_FT,T,PC,EU28,2006,93.0
A,TO_EMP,EMP_FT,T,PC,FI,2006,91.0
A,TO_EMP,EMP_FT,T,PC,FR,2006,94.7
A,TO_EMP,EMP_FT,T,PC,HR,2006,89.5
A,TO_EMP,EMP_FT,T,PC,HU,2006,91.9
A,TO_EMP,EMP_FT,T,PC,IE,2006,92.5
A,TO_EMP,EMP_FT,T,PC,IS,2006,93.6
A,TO_EMP,EMP_FT,T,PC,IT,2006,88.7
A,TO_EMP,EMP_FT,T,PC,LT,2006,93.8
A,TO_EMP,EMP_FT,T,PC,LU,2006,94.5
A,TO_EMP,EMP_FT,T,PC,LV,2006,88.9
A,TO_EMP,EMP_FT,T,PC,ME,2006,
A,TO_EMP,EMP_FT,T,PC,MK,2006,
A,TO_EMP,EMP_FT,T,PC,MT,2006,96.2
A,TO_EMP,EMP_FT,T,PC,NL,2006,96.4
A,TO_EMP,EMP_FT,T,PC,NO,2006,95.6
A,TO_EMP,EMP_FT,T,PC,PL,2006,94.1
A,TO_EMP,EMP_FT,T,PC,PT,2006,92.8
A,TO_EMP,EMP_FT,T,PC,RO,2006,96.9
A,TO_EMP,EMP_FT,T,PC,RS,2006,
A,TO_EMP,EMP_FT,T,PC,SE,2006,95.1
A,TO_EMP,EMP_FT,T,PC,SI,2006,
A,TO_EMP,EMP_FT,T,PC,SK,2006,95.0
A,TO_EMP,EMP_FT,T,PC,TR,2006,
A,TO_EMP,EMP_FT,T,PC,UK,2006,95.0
A,TO_EMP,EMP_PT,F,PC,AL,2006,
A,TO_EMP,EMP_PT,F,PC,AT,2006,87.0
A,TO_EMP,EMP_PT,F,PC,BE,2006,90.0
A,TO_EMP,EMP_PT,F,PC,BG,2006,73.4
A,TO_EMP,EMP_PT,F,PC,CH,2006,
A,TO_EMP,EMP_PT,F,PC,CY,2006,89.2
A,TO_EMP,EMP_PT,F,PC,CZ,2006,85.2
A,TO_EMP,EMP_PT,F,PC,DE,2006,90.4
A,TO_EMP,EMP_PT,F,PC,DK,2006,80.1
A,TO_EMP,EMP_PT,F,PC,EA,2006,88.3
A,TO_EMP,EMP_PT,F,PC,EA18,2006,88.3
A,TO_EMP,EMP_PT,F,PC,EA19,2006,88.3
A,TO_EMP,EMP_PT,F,PC,EA20,2006,
A,TO_EMP,EMP_PT,F,PC,EE,2006,89.0
A,TO_EMP,EMP_PT,F,PC,EL,2006,72.9
A,TO_EMP,EMP_PT,F,PC,ES,2006,78.1
A,TO_EMP,EMP_PT,F,PC,EU,2006,88.3
A,TO_EMP,EMP_PT,F,PC,EU27_2007,2006,88.3
A,TO_EMP,EMP_PT,F,PC,EU27_2020,2006,88.2
A,TO_EMP,EMP_PT,F,PC,EU28,2006,88.3
A,TO_EMP,EMP_PT,F,PC,FI,2006,77.8
A,TO_EMP,EMP_PT,F,PC,FR,2006,91.0
A,TO_EMP,EMP_PT,F,PC,HR,2006,77.7
A,TO_EMP,EMP_PT,F,PC,HU,2006,82.0
A,TO_EMP,EMP_PT,F,PC,IE,2006,91.4
A,TO_EMP,EMP_PT,F,PC,IS,2006,89.9
A,TO_EMP,EMP_PT,F,PC,IT,2006,82.8
A,TO_EMP,EMP_PT,F,PC,LT,2006,82.6
A,TO_EMP,EMP_PT,F,PC,LU,2006,93.4
A,TO_EMP,EMP_PT,F,PC,LV,2006,80.9
A,TO_EMP,EMP_PT,F,PC,ME,2006,
A,TO_EMP,EMP_PT,F,PC,MK,2006,
A,TO_EMP,EMP_PT,F,PC,MT,2006,87.3
A,TO_EMP,EMP_PT,F,PC,NL,2006,93.9
A,TO_EMP,EMP_PT,F,PC,NO,2006,84.4
A,TO_EMP,EMP_PT,F,PC,PL,2006,87.3
